club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
Middlesbrough FC,Tommy Wright,26.0,Left Winger,Leicester,€910Th.,in,Summer,0.91,Premier League,1992,1992/1993,England
Middlesbrough FC,Jonathan Gittens,28.0,defence,Southampton,€250Th.,in,Summer,0.25,Premier League,1992,1992/1993,England
Norwich City,Mark Robins,22.0,Centre-Forward,Man Utd,€1.00m,in,Summer,1.0,Premier League,1992,1992/1993,England
Oldham Athletic,Ian Olney,22.0,Centre-Forward,Aston Villa,€894Th.,in,Summer,0.894,Premier League,1992,1992/1993,England
Oldham Athletic,Neil Pointon,27.0,Left-Back,Man City,€675Th.,in,Summer,0.675,Premier League,1992,1992/1993,England
Oldham Athletic,Steve Redmond,24.0,Centre-Back,Man City,€450Th.,in,Summer,0.45,Premier League,1992,1992/1993,England
Sheffield Wednesday,Mark Bright,30.0,Centre-Forward,Crystal Palace,€1.70m,in,Summer,1.7,Premier League,1992,1992/1993,England
Sheffield Wednesday,Chris Waddle,31.0,Attacking Midfield,Marseille,€1.50m,in,Summer,1.5,Premier League,1992,1992/1993,England
Wimbledon FC,Dean Holdsworth,23.0,Centre-Forward,Brentford,€1.00m,in,Summer,1.0,Premier League,1992,1992/1993,England
Wimbledon FC,Vinnie Jones,27.0,Defensive Midfield,Chelsea,€830Th.,in,Summer,0.83,Premier League,1992,1992/1993,England
Wimbledon FC,Greg Berry,21.0,midfield,Leyton Orient,€313Th.,in,Summer,0.313,Premier League,1992,1992/1993,England
Coventry City,Phil Babb,21.0,Centre-Back,Bradford,€735Th.,in,Summer,0.735,Premier League,1992,1992/1993,England
Coventry City,John Williams,24.0,Centre-Forward,Swansea,€300Th.,in,Summer,0.3,Premier League,1992,1992/1993,England
Manchester United,Dion Dublin,23.0,Centre-Forward,Cambridge Utd.,€1.50m,in,Summer,1.5,Premier League,1992,1992/1993,England
Manchester United,Pat McGibbon,18.0,Centre-Back,Portadown,€225Th.,in,Summer,0.225,Premier League,1992,1992/1993,England
Crystal Palace,Chris Armstrong,21.0,Centre-Forward,Millwall,€1.00m,in,Summer,1.0,Premier League,1992,1992/1993,England
Crystal Palace,Darren Patterson,22.0,Right-Back,Wigan,€340Th.,in,Summer,0.34,Premier League,1992,1992/1993,England
Nottingham Forest,Neil Webb,28.0,Central Midfield,Man Utd,€925Th.,in,Summer,0.925,Premier League,1992,1992/1993,England
Ipswich Town,Geraint Williams,30.0,Defensive Midfield,Derby,€750Th.,in,Summer,0.75,Premier League,1992,1992/1993,England
Arsenal FC,John Jensen,27.0,Central Midfield,Bröndby IF,€1.60m,in,Summer,1.6,Premier League,1992,1992/1993,England
Chelsea FC,Nigel Spackman,31.0,Central Midfield,Rangers,€600Th.,in,Summer,0.6,Premier League,1992,1992/1993,England
Chelsea FC,Anthony Barness,19.0,Right-Back,Charlton,€525Th.,in,Summer,0.525,Premier League,1992,1992/1993,England
Chelsea FC,David Hopkin,22.0,Right Midfield,Morton,€450Th.,in,Summer,0.45,Premier League,1992,1992/1993,England
Chelsea FC,Mick Harford,33.0,Centre-Forward,Luton,€350Th.,in,Summer,0.35,Premier League,1992,1992/1993,England
Chelsea FC,Mal Donaghy,34.0,Left-Back,Man Utd,€200Th.,in,Summer,0.2,Premier League,1992,1992/1993,England
Aston Villa,Dean Saunders,28.0,Centre-Forward,Liverpool,€2.85m,in,Summer,2.85,Premier League,1992,1992/1993,England
Aston Villa,Ray Houghton,30.0,Central Midfield,Liverpool,€1.08m,in,Summer,1.08,Premier League,1992,1992/1993,England
Leeds United,David Rocastle,25.0,Attacking Midfield,Arsenal,€2.40m,in,Summer,2.4,Premier League,1992,1992/1993,England
Leeds United,Kevin Sharp,18.0,Left-Back,AJ Auxerre U19,€90Th.,in,Summer,0.09,Premier League,1992,1992/1993,England
Sheffield United,Alan Kelly,23.0,Goalkeeper,Preston,€210Th.,in,Summer,0.21,Premier League,1992,1992/1993,England
Southampton FC,Perry Groves,27.0,Left Winger,Arsenal,€850Th.,in,Summer,0.85,Premier League,1992,1992/1993,England
Southampton FC,Ken Monkou,27.0,Centre-Back,Chelsea,€844Th.,in,Summer,0.844,Premier League,1992,1992/1993,England
Southampton FC,Kerry Dixon,30.0,Centre-Forward,Chelsea,€650Th.,in,Summer,0.65,Premier League,1992,1992/1993,England
Southampton FC,David Speedie,32.0,Centre-Forward,Blackburn,€600Th.,in,Summer,0.6,Premier League,1992,1992/1993,England
Blackburn Rovers,Alan Shearer,21.0,Centre-Forward,Southampton,€4.50m,in,Summer,4.5,Premier League,1992,1992/1993,England
Blackburn Rovers,Stuart Ripley,24.0,Right Winger,Middlesbrough,€2.00m,in,Summer,2.0,Premier League,1992,1992/1993,England
Blackburn Rovers,Tim Sherwood,23.0,Central Midfield,Norwich,€750Th.,in,Summer,0.75,Premier League,1992,1992/1993,England
Blackburn Rovers,Patrik Andersson,20.0,Centre-Back,Malmö FF,€500Th.,in,Summer,0.5,Premier League,1992,1992/1993,England
Blackburn Rovers,Lee Makel,19.0,Attacking Midfield,Newcastle,€240Th.,in,Summer,0.24,Premier League,1992,1992/1993,England
Blackburn Rovers,Wayne Burnett,20.0,midfield,Leyton Orient,€96Th.,in,Summer,0.096,Premier League,1992,1992/1993,England
Tottenham Hotspur,Teddy Sheringham,26.0,Centre-Forward,Nottm Forest,€3.15m,in,Summer,3.15,Premier League,1992,1992/1993,England
Tottenham Hotspur,Darren Anderton,20.0,Right Midfield,Portsmouth,€2.70m,in,Summer,2.7,Premier League,1992,1992/1993,England
Tottenham Hotspur,Jason Cundy,22.0,Centre-Back,Chelsea,€875Th.,in,Summer,0.875,Premier League,1992,1992/1993,England
Tottenham Hotspur,Neil Ruddock,24.0,Centre-Back,Southampton,€850Th.,in,Summer,0.85,Premier League,1992,1992/1993,England
Liverpool FC,Paul Stewart,27.0,Defensive Midfield,Spurs,€2.75m,in,Summer,2.75,Premier League,1992,1992/1993,England
